x,rho,u,P,e, ,rho_ref,u_ref,P_ref,e_ref
0.0,0.445,0.689,3.528,19.8202,0.20681,0.445,0.689,3.528,19.8202
0.005,0.445,0.689,3.528,19.8202,0.20681,0.445,0.689,3.528,19.8202
0.01,0.445,0.689,3.528,19.8202,0.20681,0.445,0.689,3.528,19.8202
0.015,0.445,0.689,3.528,19.8202,0.20681,0.445,0.689,3.528,19.8202
0.02,0.445,0.689,3.528,19.8202,0.20681,0.445,0.689,3.528,19.8202
0.025,0.445,0.689,3.528,19.8202,0.20681,0.445,0.689,3.528,19.8202
0.03,0.445,0.689,3.528,19.8202,0.20681,0.445,0.689,3.528,19.8202
0.035,0.445,0.689,3.528,19.8202,0.20681,0.445,0.689,3.528,19.8202
0.04,0.445,0.689,3.528,19.8202,0.20681,0.445,0.689,3.528,19.8202
0.045,0.445,0.689001,3.528,19.8202,0.20681,0.445,0.689,3.528,19.8202
0.05,0.445,0.689001,3.528,19.8202,0.20681,0.445,0.689,3.528,19.8202
0.055,0.445,0.689003,3.528,19.8202,0.206811,0.445,0.689,3.528,19.8202
0.06,0.444999,0.689007,3.52799,19.8202,0.206812,0.445,0.689,3.528,19.8202
0.065,0.444998,0.689014,3.52798,19.8202,0.206814,0.445,0.689,3.528,19.8202
0.07,0.444996,0.689028,3.52796,19.8202,0.206818,0.445,0.689,3.528,19.8202
0.075,0.444993,0.689053,3.52792,19.8201,0.206826,0.445,0.689,3.528,19.8202
0.08,0.444987,0.689099,3.52785,19.82,0.206841,0.445,0.689,3.528,19.8202
0.085,0.444976,0.689179,3.52773,19.8198,0.206866,0.445,0.689,3.528,19.8202
0.09,0.444958,0.689316,3.52753,19.8195,0.206908,0.445,0.689,3.528,19.8202
0.095,0.444928,0.689541,3.5272,19.8189,0.206979,0.445,0.689,3.528,19.8202
0.1,0.44488,0.689901,3.52667,19.8181,0.207091,0.445,0.689,3.528,19.8202
0.105,0.444805,0.690458,3.52584,19.8168,0.207266,0.445,0.689,3.528,19.8202
0.11,0.444693,0.691297,3.5246,19.8148,0.207528,0.445,0.689,3.528,19.8202
0.115,0.44453,0.69252,3.52278,19.8118,0.20791,0.445,0.689,3.528,19.8202
0.12,0.444298,0.694255,3.52022,19.8077,0.208453,0.445,0.689,3.528,19.8202
0.125,0.44398,0.696643,3.51668,19.802,0.2092,0.445,0.689,3.528,19.8202
0.13,0.443554,0.69984,3.51196,19.7944,0.2102,0.445,0.689,3.528,19.8202
