x,rho,u,P,e,rho_ref,u_ref,P_ref,e_ref
0.0,0.444999,0.689006,3.52799,19.8202,0.206811,0.445,0.689,3.528,19.8202
0.005,0.444999,0.689011,3.52798,19.8202,0.206813,0.445,0.689,3.528,19.8202
0.01,0.444997,0.689021,3.52797,19.8202,0.206816,0.445,0.689,3.528,19.8202
0.015,0.444995,0.689038,3.52794,19.8201,0.206822,0.445,0.689,3.528,19.8202
0.02,0.444991,0.689069,3.5279,19.8201,0.206831,0.445,0.689,3.528,19.8202
0.025,0.444984,0.689122,3.52782,19.8199,0.206848,0.445,0.689,3.528,19.8202
0.03,0.444972,0.68921,3.52769,19.8197,0.206875,0.445,0.689,3.528,19.8202
0.035,0.444953,0.689353,3.52748,19.8194,0.20692,0.445,0.689,3.528,19.8202
0.04,0.444923,0.689577,3.52714,19.8189,0.20699,0.445,0.689,3.528,19.8202
0.045,0.444877,0.689922,3.52663,19.818,0.207098,0.445,0.689,3.528,19.8202
0.05,0.444808,0.690439,3.52587,19.8168,0.207259,0.445,0.689,3.528,19.8202
0.055,0.444707,0.691191,3.52475,19.815,0.207495,0.445,0.689,3.528,19.8202
0.06,0.444565,0.69226,3.52317,19.8125,0.207829,0.445,0.689,3.528,19.8202
0.065,0.444367,0.693741,3.52098,19.8089,0.208292,0.445,0.689,3.528,19.8202
0.07,0.4441,0.69574,3.51802,19.8042,0.208917,0.445,0.689,3.528,19.8202
0.075,0.443749,0.698375,3.51412,19.7979,0.209742,0.445,0.689,3.528,19.8202
0.08,0.443297,0.701765,3.50912,19.7899,0.210803,0.445,0.689,3.528,19.8202
0.085,0.442729,0.706031,3.50283,19.7797,0.212138,0.445,0.689,3.528,19.8202
0.09,0.442031,0.711281,3.4951,19.7673,0.213783,0.445,0.689,3.528,19.8202
0.095,0.44119,0.717611,3.4858,19.7522,0.215768,0.445,0.689,3.528,19.8202
0.1,0.440198,0.725097,3.47483,19.7345,0.218117,0.445,0.689,3.528,19.8202
0.105,0.439047,0.733792,3.46212,19.7139,0.220848,0.445,0.689,3.528,19.8202
0.11,0.437735,0.743727,3.44765,19.6903,0.223972,0.445,0.689,3.528,19.8202
0.115,0.436262,0.754905,3.43143,19.6638,0.227491,0.445,0.689,3.528,19.8202
0.12,0.434632,0.767311,3.41351,19.6345,0.231402,0.445,0.689,3.528,19.8202
0.125,0.432851,0.78091,3.39396,19.6024,0.235696,0.445,0.689,3.528,19.8202
0.13,0.430926,0.79565,3.37287,19.5676,0.240359,0.445,0.689,3.528,19.8202
0.135,0.428868,0.81147,3.35036,19.5302,0.245372,0.445,0.689,3.528,19.8202
0.14,0.426688,0.828299,3.32656,19.4906,0.250715,0.441096,0.718331,3.48475,19.7505
0.145,0.424396,0.846062,3.30159,19.4488,0.256367,0.437108,0.748508,3.44072,19.6789
0.15,0.422003,0.864682,3.2756,19.405,0.262304,0.433149,0.778686,3.39716,19.6074
0.155,0.419523,0.88408,3.2487,19.3595,0.268504,0.429218,0.808864,3.35409,19.536
0.16,0.416964,0.904182,3.22103,19.3124,0.274944,0.425317,0.839042,3.31148,19.4648
0.165,0.414338,0.924912,3.1927,19.2638,0.281602,0.421443,0.86922,3.26933,19.3937
0.17,0.411655,0.946201,3.16383,19.2141,0.288456,0.417598,0.899398,3.22765,19.3227
0.175,0.408925,0.967982,3.13453,19.1632,0.295487,0.413781,0.929576,3.18642,19.2519
0.18,0.406156,0.99019,3.10489,19.1114,0.302676,0.409992,0.959754,3.14565,19.1812
0.185,0.403356,1.01277,3.07501,19.0589,0.310004,0.406231,0.989931,3.10532,19.1106
0.19,0.400534,1.03565,3.04497,19.0057,0.317452,0.402497,1.02011,3.06544,19.0401
0.195,0.397696,1.05879,3.01485,18.9519,0.325005,0.398791,1.05029,3.02599,18.9698
0.2,0.39485,1.08213,2.98472,18.8978,0.332645,0.395112,1.08047,2.98699,18.8996
0.205,0.392002,1.10563,2.95467,18.8435,0.340356,0.391461,1.11064,2.94841,18.8295
0.21,0.389159,1.12922,2.92475,18.7889,0.348122,0.387836,1.14082,2.91026,18.7596
0.215,0.386327,1.15285,2.89504,18.7344,0.355925,0.384239,1.171,2.87254,18.6898
0.22,0.383512,1.17648,2.86559,18.6799,0.363749,0.380668,1.20118,2.83523,18.6201
0.225,0.380721,1.20004,2.83648,18.6257,0.371575,0.377123,1.23135,2.79835,18.5506
0.23,0.377961,1.22349,2.80777,18.5718,0.379383,0.373606,1.26153,2.76187,18.4812
0.235,0.375238,1.24675,2.77953,18.5185,0.387153,0.370114,1.29171,2.7258,18.4119
0.24,0.372559,1.26976,2.75183,18.4657,0.394861,0.366649,1.32189,2.69014,18.3428
0.245,0.369934,1.29245,2.72476,18.4138,0.402482,0.363209,1.35207,2.65488,18.2737
0.25,0.36737,1.31473,2.69839,18.3629,0.409989,0.359796,1.38224,2.62001,18.2048
0.255,0.364876,1.33652,2.67282,18.3132,0.417349,0.356408,1.41242,2.58554,18.1361
0.26,0.362463,1.35772,2.64814,18.2649,0.424528,0.353046,1.4426,2.55146,18.0675
