x,rho,u,P,e,rho_ref,u_ref,P_ref,e_ref
0.0,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.005,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.01,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.015,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.02,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.025,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.03,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.035,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.04,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.045,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.05,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.055,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.06,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.065,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.07,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.075,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.08,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.085,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.09,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.095,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.1,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.105,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.11,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.115,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.12,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.125,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.13,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.135,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.14,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.145,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.15,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.155,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.16,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.165,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.17,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.175,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.18,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.185,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.19,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.195,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.2,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.205,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.21,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.215,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.22,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.225,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.23,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
0.235,1.0,0.75,1.0,2.5,0.633866,1.0,0.75,1.0,2.5
