x,rho,u,P,e,rho_ref,u_ref,P_ref,e_ref
0.0,0.445,0.689003,3.528,19.8202,0.206811,0.445,0.689,3.528,19.8202
0.005,0.444999,0.689005,3.52799,19.8202,0.206811,0.445,0.689,3.528,19.8202
0.01,0.444999,0.689011,3.52798,19.8202,0.206813,0.445,0.689,3.528,19.8202
0.015,0.444997,0.68902,3.52797,19.8202,0.206816,0.445,0.689,3.528,19.8202
0.02,0.444995,0.689037,3.52794,19.8201,0.206821,0.445,0.689,3.528,19.8202
0.025,0.444991,0.689068,3.5279,19.8201,0.206831,0.445,0.689,3.528,19.8202
0.03,0.444984,0.68912,3.52782,19.8199,0.206847,0.445,0.689,3.528,19.8202
0.035,0.444972,0.689208,3.52769,19.8197,0.206875,0.445,0.689,3.528,19.8202
0.04,0.444953,0.68935,3.52748,19.8194,0.206919,0.445,0.689,3.528,19.8202
0.045,0.444923,0.689575,3.52715,19.8189,0.20699,0.445,0.689,3.528,19.8202
0.05,0.444877,0.689922,3.52663,19.818,0.207098,0.445,0.689,3.528,19.8202
0.055,0.444807,0.690443,3.52586,19.8168,0.207261,0.445,0.689,3.528,19.8202
0.06,0.444706,0.691203,3.52474,19.815,0.207498,0.445,0.689,3.528,19.8202
0.065,0.444561,0.692286,3.52313,19.8124,0.207837,0.445,0.689,3.528,19.8202
0.07,0.444361,0.693788,3.52091,19.8088,0.208307,0.445,0.689,3.528,19.8202
0.075,0.44409,0.695819,3.5179,19.804,0.208942,0.445,0.689,3.528,19.8202
0.08,0.443732,0.698499,3.51394,19.7976,0.209781,0.445,0.689,3.528,19.8202
0.085,0.443272,0.701952,3.50884,19.7894,0.210861,0.445,0.689,3.528,19.8202
0.09,0.442694,0.706299,3.50243,19.7791,0.212222,0.445,0.689,3.528,19.8202
0.095,0.441982,0.711651,3.49455,19.7664,0.213899,0.445,0.689,3.528,19.8202
0.1,0.441125,0.718107,3.48507,19.7511,0.215923,0.445,0.689,3.528,19.8202
0.105,0.440112,0.725742,3.47388,19.7329,0.218319,0.445,0.689,3.528,19.8202
0.11,0.438938,0.73461,3.46093,19.7119,0.221105,0.445,0.689,3.528,19.8202
0.115,0.437601,0.744741,3.44618,19.6879,0.224291,0.445,0.689,3.528,19.8202
0.12,0.4361,0.756136,3.42965,19.6609,0.227879,0.445,0.689,3.528,19.8202
0.125,0.434439,0.76878,3.41139,19.631,0.231866,0.445,0.689,3.528,19.8202
0.13,0.432625,0.782633,3.39148,19.5983,0.236241,0.445,0.689,3.528,19.8202
0.135,0.430666,0.797644,3.37003,19.5629,0.24099,0.445,0.689,3.528,19.8202
