x,rho,P,u
-0.5,1,1,0
-0.498998998998999,1,1,0
-0.497997997997998,1,1,0
-0.496996996996997,1,1,0
-0.495995995995996,1,1,0
-0.494994994994995,1,1,0
-0.493993993993994,1,1,0
-0.492992992992993,1,1,0
-0.491991991991992,1,1,0
-0.490990990990991,1,1,0
-0.48998998998999,1,1,0
-0.488988988988989,1,1,0
-0.487987987987988,1,1,0
-0.486986986986987,1,1,0
-0.485985985985986,1,1,0
-0.484984984984985,1,1,0
-0.483983983983984,1,1,0
-0.482982982982983,1,1,0
-0.481981981981982,1,1,0
-0.480980980980981,1,1,0
-0.47997997997998,1,1,0
-0.478978978978979,1,1,0
-0.477977977977978,1,1,0
-0.476976976976977,1,1,0
-0.475975975975976,1,1,0
-0.474974974974975,1,1,0
-0.473973973973974,1,1,0
-0.472972972972973,1,1,0
-0.471971971971972,1,1,0
-0.470970970970971,1,1,0
-0.46996996996997,1,1,0
-0.468968968968969,1,1,0
-0.467967967967968,1,1,0
-0.466966966966967,1,1,0
-0.465965965965966,1,1,0
-0.464964964964965,1,1,0
-0.463963963963964,1,1,0
-0.462962962962963,1,1,0
-0.461961961961962,1,1,0
-0.460960960960961,1,1,0
-0.45995995995996,1,1,0
-0.458958958958959,1,1,0
-0.457957957957958,1,1,0
-0.456956956956957,1,1,0
-0.455955955955956,1,1,0
-0.454954954954955,1,1,0
-0.453953953953954,1,1,0
-0.452952952952953,1,1,0
-0.451951951951952,1,1,0
-0.450950950950951,1,1,0
-0.44994994994995,1,1,0
-0.448948948948949,1,1,0
-0.447947947947948,1,1,0
-0.446946946946947,1,1,0
-0.445945945945946,1,1,0
-0.444944944944945,1,1,0
-0.443943943943944,1,1,0
-0.442942942942943,1,1,0
-0.441941941941942,1,1,0
-0.440940940940941,1,1,0
-0.43993993993994,1,1,0
-0.438938938938939,1,1,0
-0.437937937937938,1,1,0
-0.436936936936937,1,1,0
-0.435935935935936,1,1,0
-0.434934934934935,1,1,0
-0.433933933933934,1,1,0
-0.432932932932933,1,1,0
-0.431931931931932,1,1,0
-0.430930930930931,1,1,0
-0.42992992992993,1,1,0
-0.428928928928929,1,1,0
-0.427927927927928,1,1,0
-0.426926926926927,1,1,0
-0.425925925925926,1,1,0
-0.424924924924925,1,1,0
-0.423923923923924,1,1,0
-0.422922922922923,1,1,0
-0.421921921921922,1,1,0
-0.420920920920921,1,1,0
-0.41991991991992,1,1,0
-0.418918918918919,1,1,0
-0.417917917917918,1,1,0
-0.416916916916917,1,1,0
-0.415915915915916,1,1,0
-0.414914914914915,1,1,0
-0.413913913913914,1,1,0
-0.412912912912913,1,1,0
-0.411911911911912,1,1,0
-0.410910910910911,1,1,0
-0.40990990990991,1,1,0
-0.408908908908909,1,1,0
-0.407907907907908,1,1,0
-0.406906906906907,1,1,0
-0.405905905905906,1,1,0
-0.404904904904905,1,1,0
-0.403903903903904,1,1,0
-0.402902902902903,1,1,0
-0.401901901901902,1,1,0
-0.400900900900901,1,1,0
-0.3998998998999,1,1,0
-0.398898898898899,1,1,0
-0.397897897897898,1,1,0
-0.396896896896897,1,1,0
-0.395895895895896,1,1,0
-0.394894894894895,1,1,0
-0.393893893893894,1,1,0
-0.392892892892893,1,1,0
-0.391891891891892,1,1,0
-0.390890890890891,1,1,0
-0.38988988988989,1,1,0
-0.388888888888889,1,1,0
-0.387887887887888,1,1,0
-0.386886886886887,1,1,0
-0.385885885885886,1,1,0
-0.384884884884885,1,1,0
-0.383883883883884,1,1,0
-0.382882882882883,1,1,0
-0.381881881881882,1,1,0
-0.380880880880881,1,1,0
-0.37987987987988,1,1,0
